Acceleration,Sprint Speed,Agility,Balance,Jumping,Stamina,Strength,Position,Preferred foot,Height,Weight,Alternative positions,Age
58,60,70,53,64,80,71,CDM,Right,"188cm / 6'2""",80kg / 176lb,CM,25
38,51,32,32,74,67,84,CB,Right,"194cm / 6'4""",86kg / 190lb,,27
70,79,68,67,82,75,78,CB,Right,"183cm / 6'0""",82kg / 181lb,RB,21
32,30,31,32,79,66,92,CB,Right,"193cm / 6'4""",89kg / 196lb,,37
69,67,75,80,72,79,66,ST,Right,"174cm / 5'9""",74kg / 163lb,"CAM, LW",31
74,74,66,63,81,74,76,ST,Right,"188cm / 6'2""",80kg / 176lb,,24
78,75,77,83,77,85,70,LB,Left,"171cm / 5'7""",73kg / 161lb,,29
84,76,88,87,56,92,43,CM,Right,"174cm / 5'9""",67kg / 148lb,CDM,22
38,42,37,44,62,24,67,GK,Right,"196cm / 6'5""",88kg / 194lb,,31
81,78,75,74,77,68,64,LM,Right,"178cm / 5'10""",73kg / 161lb,LW,26
70,70,74,75,76,89,72,CM,Right,"179cm / 5'10""",74kg / 163lb,"CAM, RB",29
73,68,75,83,71,79,69,CM,Right,"175cm / 5'9""",66kg / 146lb,CDM,32
73,67,71,70,75,66,67,ST,Right,"180cm / 5'11""",73kg / 161lb,RW,33
75,75,76,71,64,73,63,LB,Left,"180cm / 5'11""",73kg / 161lb,LM,21
87,83,85,83,69,73,63,RW,Right,"170cm / 5'7""",68kg / 150lb,"ST, RM",25
50,52,45,55,79,74,86,CB,Left,"194cm / 6'4""",81kg / 179lb,,28
53,53,67,62,79,79,82,ST,Right,"187cm / 6'2""",80kg / 176lb,,35
92,90,85,87,82,87,70,RM,Right,"179cm / 5'10""",68kg / 150lb,RW,29
84,79,72,70,79,73,74,RB,Right,"182cm / 6'0""",79kg / 174lb,,29
70,71,71,71,74,67,69,LB,Right,"183cm / 6'0""",72kg / 159lb,RB,30
83,84,87,92,67,70,50,RB,Right,"164cm / 5'5""",64kg / 141lb,RM,30
72,71,68,75,78,82,75,LB,Left,"184cm / 6'0""",81kg / 179lb,LM,23
85,84,90,88,55,66,46,LM,Right,"168cm / 5'6""",69kg / 152lb,"LW, CAM",24
70,70,78,72,81,83,82,CM,Right,"182cm / 6'0""",80kg / 176lb,CDM,27
76,81,81,80,71,48,64,LW,Left,"180cm / 5'11""",79kg / 174lb,"CAM, LM",22
84,84,75,64,81,81,74,RB,Right,"185cm / 6'1""",74kg / 163lb,,24
65,68,69,61,70,65,71,CDM,Right,"180cm / 5'11""",70kg / 154lb,CM,30
88,82,87,78,63,80,56,LW,Right,"170cm / 5'7""",71kg / 157lb,LM,25
60,62,63,68,56,53,42,CAM,Left,"185cm / 6'1""",78kg / 172lb,"ST, RM",19
90,90,91,84,78,67,60,LM,Right,"173cm / 5'8""",63kg / 139lb,"RW, RM, LW",30
66,64,54,56,75,69,74,CB,Right,"187cm / 6'2""",77kg / 170lb,,23
41,38,41,30,71,31,82,ST,Left,"193cm / 6'4""",87kg / 192lb,,41
77,64,68,54,90,74,85,ST,Left,"186cm / 6'1""",82kg / 181lb,,25
74,73,69,65,73,74,65,RM,Right,"183cm / 6'0""",80kg / 176lb,"RB, RW",22
67,77,77,79,76,76,80,CDM,Right,"178cm / 5'10""",80kg / 176lb,CM,19
89,89,78,89,77,85,59,RB,Right,"171cm / 5'7""",64kg / 141lb,RM,29
69,69,68,69,76,77,73,CDM,Right,"182cm / 6'0""",74kg / 163lb,CM,23
50,45,54,57,81,70,87,CB,Right,"186cm / 6'1""",84kg / 185lb,,34
85,85,73,62,75,75,64,LB,Left,"182cm / 6'0""",76kg / 168lb,LM,22
49,54,64,44,59,31,52,GK,Right,"185cm / 6'1""",80kg / 176lb,,34
75,80,80,58,87,79,83,ST,Right,"188cm / 6'2""",82kg / 181lb,,26
65,64,74,71,73,69,71,RB,Right,"178cm / 5'10""",64kg / 141lb,"CDM, CM",26
71,74,76,73,75,84,72,CM,Right,"180cm / 5'11""",72kg / 159lb,CDM,30
72,66,85,84,72,80,64,CM,Right,"175cm / 5'9""",68kg / 150lb,CAM,34
65,65,69,70,61,63,65,CAM,Right,"187cm / 6'2""",77kg / 170lb,CM,20
66,69,74,74,81,75,77,CB,Right,"185cm / 6'1""",70kg / 154lb,,28
31,31,64,51,63,24,66,GK,Right,"193cm / 6'4""",80kg / 176lb,,32
50,52,47,65,79,63,86,CB,Left,"185cm / 6'1""",83kg / 183lb,,27
60,68,51,49,80,71,78,CB,Left,"188cm / 6'2""",70kg / 154lb,,26
73,72,73,69,82,77,73,ST,Right,"178cm / 5'10""",73kg / 161lb,,26
72,74,72,75,69,81,60,LB,Left,"175cm / 5'9""",70kg / 154lb,CB,24
54,56,45,34,78,64,80,CB,Right,"193cm / 6'4""",81kg / 179lb,,30
69,73,73,67,86,77,86,ST,Left,"186cm / 6'1""",88kg / 194lb,,28
36,34,48,55,72,65,80,CB,Right,"185cm / 6'1""",82kg / 181lb,,33
63,72,61,52,89,70,91,CB,Left,"188cm / 6'2""",86kg / 190lb,,26
39,39,39,47,66,41,72,GK,Right,"192cm / 6'4""",88kg / 194lb,,27
89,89,90,69,69,73,61,RM,Right,"178cm / 5'10""",72kg / 159lb,"RB, RW",33
73,70,71,66,75,73,69,LB,Left,"179cm / 5'10""",73kg / 161lb,CB,25
69,77,66,63,82,66,78,CB,Right,"181cm / 5'11""",73kg / 161lb,,29
54,51,39,52,78,65,79,CB,Right,"191cm / 6'3""",77kg / 170lb,,22
87,83,85,91,64,67,58,RM,Left,"166cm / 5'5""",62kg / 137lb,"CAM, LM, RW",23
65,69,65,62,73,68,60,CB,Right,"182cm / 6'0""",75kg / 165lb,,17
76,76,71,70,84,73,74,CB,Right,"179cm / 5'10""",81kg / 179lb,,25
51,61,55,60,78,67,82,CB,Left,"187cm / 6'2""",86kg / 190lb,,34
87,82,90,84,52,65,33,LW,Right,"173cm / 5'8""",65kg / 143lb,"RW, LM",33
80,83,76,76,85,69,68,ST,Right,"184cm / 6'0""",70kg / 154lb,,33
63,64,60,64,75,66,74,CB,Right,"187cm / 6'2""",80kg / 176lb,,27
52,53,44,49,80,69,80,CB,Right,"184cm / 6'0""",76kg / 168lb,,25
70,71,79,84,52,85,34,CAM,Right,"174cm / 5'9""",64kg / 141lb,LW,30
50,68,53,57,77,72,80,CB,Right,"189cm / 6'2""",87kg / 192lb,,24
60,54,64,64,67,44,60,GK,Right,"190cm / 6'3""",88kg / 194lb,,33
80,87,75,74,60,71,62,LM,Right,"175cm / 5'9""",63kg / 139lb,"RM, LW",23
72,57,76,81,54,89,52,CM,Right,"177cm / 5'10""",63kg / 139lb,LM,26
57,66,74,68,72,76,76,CDM,Right,"181cm / 5'11""",70kg / 154lb,CM,28
59,67,65,59,82,66,77,RB,Right,"186cm / 6'1""",84kg / 185lb,RM,36
71,69,66,77,72,80,51,RB,Right,"175cm / 5'9""",72kg / 159lb,"LB, CB",29
24,22,34,57,53,22,58,GK,Right,"188cm / 6'2""",80kg / 176lb,,30
77,74,79,95,45,73,31,CAM,Right,"165cm / 5'5""",57kg / 126lb,,24
65,69,62,54,79,66,75,CB,Right,"191cm / 6'3""",75kg / 165lb,RB,22
77,85,76,66,76,74,69,LB,Left,"180cm / 5'11""",71kg / 157lb,LM,32
64,69,65,67,75,64,73,CB,Left,"183cm / 6'0""",78kg / 172lb,LB,25
76,80,78,77,86,80,79,LB,Left,"178cm / 5'10""",79kg / 174lb,CB,34
73,61,76,67,74,86,63,LB,Left,"181cm / 5'11""",70kg / 154lb,LM,24
84,85,87,78,90,67,71,LM,Right,"175cm / 5'9""",67kg / 148lb,"ST, LW",26
24,15,27,44,51,27,52,GK,Right,"183cm / 6'0""",79kg / 174lb,,34
73,64,78,89,65,91,61,CDM,Right,"171cm / 5'7""",78kg / 172lb,CM,26
74,81,66,63,77,84,79,LB,Left,"186cm / 6'1""",78kg / 172lb,,30
77,80,68,68,81,59,74,ST,Right,"182cm / 6'0""",75kg / 165lb,,20
87,78,78,79,62,66,58,LM,Left,"180cm / 5'11""",73kg / 161lb,"RM, CAM, LW",26
54,53,48,50,80,75,84,CB,Right,"195cm / 6'5""",74kg / 163lb,,28
80,79,67,71,78,60,66,ST,Right,"178cm / 5'10""",72kg / 159lb,,24
76,72,74,74,81,84,75,CB,Right,"182cm / 6'0""",79kg / 174lb,"RB, LB",27
67,66,63,72,81,66,77,ST,Right,"183cm / 6'0""",82kg / 181lb,,31
75,82,69,71,76,82,69,LB,Left,"189cm / 6'2""",71kg / 157lb,LM,22
58,58,60,59,70,40,68,GK,Right,"185cm / 6'1""",73kg / 161lb,,33
81,72,90,89,56,73,50,LW,Right,"170cm / 5'7""",65kg / 143lb,LM,29
84,80,85,82,76,71,72,RM,Left,"178cm / 5'10""",78kg / 172lb,"LM, RW",26
54,58,67,68,59,71,59,CM,Right,"180cm / 5'11""",70kg / 154lb,"CDM, CAM",23
68,74,65,61,78,67,76,RB,Right,"187cm / 6'2""",84kg / 185lb,,21
62,69,56,63,74,69,75,CDM,Right,"183cm / 6'0""",80kg / 176lb,"CM, CB",21
71,73,74,79,76,88,75,CDM,Right,"175cm / 5'9""",70kg / 154lb,CB,32
60,56,57,58,79,70,78,CB,Left,"188cm / 6'2""",85kg / 187lb,LB,20
48,42,68,67,41,81,52,CM,Left,"178cm / 5'10""",72kg / 159lb,CDM,26
53,64,68,55,77,66,79,CB,Right,"188cm / 6'2""",76kg / 168lb,,25
69,62,69,57,77,87,77,CAM,Right,"188cm / 6'2""",74kg / 163lb,"CM, CDM",24
50,48,37,32,73,89,79,CB,Right,"198cm / 6'6""",83kg / 183lb,,29
80,81,88,73,55,66,42,LM,Right,"167cm / 5'6""",58kg / 128lb,"LW, RM",25
70,72,76,75,69,78,68,CM,Right,"185cm / 6'1""",78kg / 172lb,CDM,21
83,87,90,76,61,79,60,LM,Right,"178cm / 5'10""",70kg / 154lb,LW,22
42,66,34,39,74,48,80,CB,Right,"192cm / 6'4""",88kg / 194lb,,26
42,36,32,62,67,33,68,GK,Right,"185cm / 6'1""",89kg / 196lb,,29
75,71,76,70,75,66,67,ST,Right,"183cm / 6'0""",73kg / 161lb,CAM,22
70,67,79,69,66,78,58,CDM,Right,"181cm / 5'11""",77kg / 170lb,CM,28
89,83,92,75,62,86,55,RW,Left,"178cm / 5'10""",68kg / 150lb,"CAM, CM, RM",24
41,49,42,41,64,38,66,GK,Right,"193cm / 6'4""",80kg / 176lb,,28
23,25,35,28,49,26,64,GK,Right,"196cm / 6'5""",89kg / 196lb,,35
67,66,69,67,78,91,70,CDM,Right,"187cm / 6'2""",79kg / 174lb,"CM, CB",30
84,88,86,88,70,78,66,CAM,Right,"174cm / 5'9""",65kg / 143lb,ST,31
75,77,76,75,72,75,65,RM,Right,"180cm / 5'11""",70kg / 154lb,"LM, RW",31
89,91,90,91,68,77,58,LW,Left,"172cm / 5'8""",62kg / 137lb,"RW, ST, LM",33
84,81,83,70,72,73,58,RM,Left,"172cm / 5'8""",66kg / 146lb,"LM, RW",24
79,81,77,69,72,82,63,LB,Left,"186cm / 6'1""",78kg / 172lb,LM,21
81,82,78,78,62,65,34,RB,Right,"175cm / 5'9""",68kg / 150lb,RM,34
60,54,54,54,81,32,83,CB,Right,"186cm / 6'1""",82kg / 181lb,,31
83,87,70,71,76,73,69,RB,Right,"182cm / 6'0""",77kg / 170lb,"CM, RM",23
69,64,66,66,80,77,74,CB,Right,"185cm / 6'1""",73kg / 161lb,CDM,21
73,72,71,77,57,68,61,LM,Right,"173cm / 5'8""",65kg / 143lb,"CAM, RM, LW",24
86,87,88,90,48,61,35,LW,Right,"170cm / 5'7""",60kg / 132lb,LM,19
87,79,79,71,86,67,78,ST,Right,"181cm / 5'11""",76kg / 168lb,,21
40,43,35,29,68,26,77,GK,Right,"194cm / 6'4""",89kg / 196lb,,24
66,88,62,61,74,85,74,LB,Left,"184cm / 6'0""",82kg / 181lb,,28
67,68,59,67,68,78,69,CDM,Right,"181cm / 5'11""",74kg / 163lb,CM,25
77,80,65,66,83,69,76,ST,Right,"185cm / 6'1""",70kg / 154lb,,24
84,69,86,90,58,59,55,LW,Right,"163cm / 5'4""",70kg / 154lb,LM,30
33,33,41,58,60,25,67,GK,Right,"191cm / 6'3""",88kg / 194lb,,38
65,62,70,75,61,66,66,CAM,Right,"186cm / 6'1""",79kg / 174lb,LM,25
57,67,35,62,78,67,77,CB,Right,"191cm / 6'3""",72kg / 159lb,,27
53,60,59,52,78,67,79,CB,Left,"187cm / 6'2""",79kg / 174lb,,33
71,75,71,68,81,83,71,RB,Right,"183cm / 6'0""",76kg / 168lb,,28
45,48,34,57,56,30,49,GK,Right,"188cm / 6'2""",79kg / 174lb,,34
79,80,77,79,81,56,75,ST,Right,"176cm / 5'9""",78kg / 172lb,LM,25
78,80,74,71,78,79,76,LB,Left,"182cm / 6'0""",73kg / 161lb,,28
80,84,78,77,74,85,69,RB,Right,"182cm / 6'0""",76kg / 168lb,RM,23
86,77,90,90,61,79,43,CAM,Right,"172cm / 5'8""",67kg / 148lb,"CM, LW",30
63,64,41,37,82,69,90,CB,Right,"193cm / 6'4""",88kg / 194lb,,26
76,77,82,82,67,92,68,RB,Right,"174cm / 5'9""",67kg / 148lb,,24
73,73,61,64,57,60,64,CM,Right,"182cm / 6'0""",73kg / 161lb,"LM, CAM",23
59,55,76,70,75,82,70,ST,Right,"181cm / 5'11""",75kg / 165lb,,34
63,66,49,56,78,68,81,CB,Right,"185cm / 6'1""",80kg / 176lb,,30
79,84,76,73,71,73,56,LB,Left,"175cm / 5'9""",71kg / 157lb,,28
27,29,38,40,65,20,68,GK,Right,"190cm / 6'3""",81kg / 179lb,,36
75,72,72,64,74,67,70,ST,Right,"185cm / 6'1""",73kg / 161lb,LW,25
54,51,41,61,83,91,83,CB,Right,"188cm / 6'2""",84kg / 185lb,,30
51,55,65,47,77,66,81,CB,Right,"188cm / 6'2""",79kg / 174lb,,30
82,77,83,84,81,80,73,CDM,Right,"175cm / 5'9""",72kg / 159lb,CM,24
80,81,82,76,57,68,42,RW,Right,"175cm / 5'9""",67kg / 148lb,"LW, RM",21
67,66,81,82,57,63,57,CM,Right,"171cm / 5'7""",71kg / 157lb,CAM,34
78,80,75,73,77,91,65,CB,Left,"181cm / 5'11""",75kg / 165lb,LB,21
81,84,81,75,84,84,78,LB,Left,"175cm / 5'9""",70kg / 154lb,LM,30
66,67,76,67,71,62,68,CAM,Left,"183cm / 6'0""",74kg / 163lb,"CM, LM",21
68,78,68,74,74,80,75,CM,Right,"184cm / 6'0""",78kg / 172lb,,22
76,82,81,80,66,53,62,LM,Right,"170cm / 5'7""",66kg / 146lb,"CAM, LW",33
45,55,30,48,75,53,73,CB,Right,"186cm / 6'1""",67kg / 148lb,,32
67,70,71,70,75,89,75,CM,Right,"186cm / 6'1""",80kg / 176lb,,30
52,53,50,49,82,77,83,CB,Right,"189cm / 6'2""",81kg / 179lb,,30
69,82,33,45,87,78,90,CB,Right,"192cm / 6'4""",83kg / 183lb,,29
65,67,63,62,78,85,73,RM,Right,"185cm / 6'1""",84kg / 185lb,"CM, RW",30
57,61,77,76,52,92,60,CM,Left,"179cm / 5'10""",70kg / 154lb,CDM,29
68,50,78,85,66,76,69,CDM,Right,"173cm / 5'8""",71kg / 157lb,CM,29
66,61,68,76,70,67,67,RM,Left,"179cm / 5'10""",77kg / 170lb,"CAM, RW",33
78,81,84,37,82,69,74,ST,Right,"189cm / 6'2""",82kg / 181lb,RM,26
83,81,81,82,71,71,59,LM,Right,"175cm / 5'9""",65kg / 143lb,"RM, LW",33
83,73,79,89,56,66,42,CAM,Right,"169cm / 5'7""",65kg / 143lb,,26
65,70,73,75,60,80,64,CDM,Right,"178cm / 5'10""",70kg / 154lb,CM,22
47,48,43,62,64,36,64,GK,Right,"186cm / 6'1""",73kg / 161lb,,29
68,66,67,67,79,67,72,CB,Right,"185cm / 6'1""",75kg / 165lb,RB,27
50,53,49,53,76,34,86,CB,Left,"191cm / 6'3""",77kg / 170lb,,29
74,79,71,65,81,88,79,RB,Right,"183cm / 6'0""",83kg / 183lb,RM,26
66,68,69,74,77,74,77,CDM,Left,"182cm / 6'0""",80kg / 176lb,CM,29
41,58,55,60,73,67,76,CB,Right,"188cm / 6'2""",79kg / 174lb,,32
72,70,69,64,84,77,72,LB,Left,"182cm / 6'0""",75kg / 165lb,CB,26
83,87,77,72,78,69,69,RB,Right,"178cm / 5'10""",75kg / 165lb,,25
42,40,38,33,63,40,69,GK,Right,"188cm / 6'2""",81kg / 179lb,,31
75,71,67,64,68,82,66,RB,Right,"183cm / 6'0""",73kg / 161lb,RM,22
74,53,77,82,73,75,66,CDM,Left,"172cm / 5'8""",74kg / 163lb,"LB, LM",34
87,81,80,79,77,81,69,ST,Right,"181cm / 5'11""",78kg / 172lb,"CAM, RM",23
75,73,81,74,81,83,76,CM,Right,"181cm / 5'11""",77kg / 170lb,"CDM, CB",26
45,51,50,31,64,31,67,GK,Left,"192cm / 6'4""",90kg / 198lb,,31
87,77,92,92,59,79,52,CM,Right,"168cm / 5'6""",60kg / 132lb,"CAM, CDM",28
48,49,54,32,64,30,64,GK,Right,"193cm / 6'4""",83kg / 183lb,,29
63,58,63,67,70,45,60,GK,Right,"183cm / 6'0""",76kg / 168lb,,35
77,70,76,67,70,82,67,CAM,Left,"185cm / 6'1""",76kg / 168lb,ST,31
84,85,80,75,63,80,42,RB,Right,"174cm / 5'9""",69kg / 152lb,"RM, RW",20
76,77,72,65,79,75,71,ST,Right,"185cm / 6'1""",78kg / 172lb,,32
81,80,84,82,73,81,63,CAM,Right,"174cm / 5'9""",70kg / 154lb,ST,33
50,54,54,58,76,67,78,CB,Right,"188cm / 6'2""",83kg / 183lb,,31
51,40,60,45,82,70,83,CB,Left,"188cm / 6'2""",87kg / 192lb,,39
89,89,85,90,51,66,34,RM,Left,"169cm / 5'7""",73kg / 161lb,"ST, LW, RW",31
73,77,73,74,81,77,78,CDM,Right,"178cm / 5'10""",77kg / 170lb,CM,27
66,63,62,59,80,54,76,CB,Right,"186cm / 6'1""",83kg / 183lb,,26
64,68,59,72,82,71,80,CB,Left,"187cm / 6'2""",81kg / 179lb,LB,29
78,78,86,84,69,79,54,CAM,Right,"179cm / 5'10""",71kg / 157lb,ST,24
83,86,70,65,79,71,67,RM,Right,"183cm / 6'0""",77kg / 170lb,"LM, RW",26
69,65,77,74,73,91,78,CDM,Right,"179cm / 5'10""",75kg / 165lb,CM,25
88,83,89,86,62,65,46,LW,Right,"178cm / 5'10""",66kg / 146lb,"LM, RW",25
56,61,52,61,71,76,79,CB,Right,"191cm / 6'3""",87kg / 192lb,,26
80,84,85,71,76,77,76,LB,Right,"180cm / 5'11""",75kg / 165lb,RB,27
84,86,77,77,66,79,57,RM,Right,"176cm / 5'9""",71kg / 157lb,"RB, RW",25
44,49,45,56,72,57,83,CB,Right,"191cm / 6'3""",79kg / 174lb,,34
82,81,83,71,74,82,65,LM,Right,"168cm / 5'6""",68kg / 150lb,"CAM, LW",26
72,73,78,66,78,63,71,ST,Right,"183cm / 6'0""",72kg / 159lb,RM,28
74,70,79,82,63,57,60,CAM,Right,"170cm / 5'7""",69kg / 152lb,CM,24
79,82,79,74,83,74,79,RB,Right,"176cm / 5'9""",74kg / 163lb,RM,27
68,74,57,44,87,80,91,ST,Right,"185cm / 6'1""",76kg / 168lb,,26
78,77,72,65,74,62,60,LM,Right,"185cm / 6'1""",80kg / 176lb,"ST, RM, LW",26
84,90,79,74,67,62,59,CAM,Left,"178cm / 5'10""",74kg / 163lb,RM,30
62,55,75,78,54,79,53,CM,Left,"174cm / 5'9""",68kg / 150lb,CDM,22
74,80,75,76,82,84,82,CM,Right,"177cm / 5'10""",76kg / 168lb,"CAM, CDM",28
71,72,62,64,86,73,81,CB,Left,"186cm / 6'1""",87kg / 192lb,,29
72,67,68,75,70,84,64,RB,Right,"176cm / 5'9""",70kg / 154lb,,27
60,63,58,62,81,82,80,CB,Right,"188cm / 6'2""",76kg / 168lb,,28
63,63,75,76,68,66,70,ST,Right,"176cm / 5'9""",82kg / 181lb,LM,33
62,79,59,51,78,50,81,CB,Right,"186cm / 6'1""",84kg / 185lb,,20
77,79,75,74,76,66,72,ST,Right,"178cm / 5'10""",68kg / 150lb,"LW, RM",19
25,26,39,25,56,20,60,GK,Right,"190cm / 6'3""",80kg / 176lb,,21
86,73,85,84,79,87,70,CM,Right,"170cm / 5'7""",71kg / 157lb,CDM,23
77,81,68,62,75,75,80,RB,Right,"184cm / 6'0""",76kg / 168lb,RM,30
59,73,49,40,76,71,80,CB,Right,"191cm / 6'3""",82kg / 181lb,,24
49,58,50,55,75,64,77,ST,Right,"190cm / 6'3""",80kg / 176lb,,31
79,79,77,89,69,80,60,LB,Left,"162cm / 5'4""",62kg / 137lb,,26
40,50,30,24,64,25,71,GK,Right,"193cm / 6'4""",81kg / 179lb,,29
74,81,69,52,69,75,69,CM,Right,"188cm / 6'2""",76kg / 168lb,,22
77,76,75,70,64,65,58,RM,Right,"179cm / 5'10""",81kg / 179lb,"LM, RW",34
76,78,69,67,75,77,70,RB,Right,"183cm / 6'0""",77kg / 170lb,CDM,31
90,90,88,79,86,75,73,LM,Right,"174cm / 5'9""",67kg / 148lb,"LW, ST",29
47,37,63,62,90,71,85,ST,Right,"186cm / 6'1""",78kg / 172lb,CAM,35
64,65,75,68,60,67,56,CAM,Right,"177cm / 5'10""",70kg / 154lb,CM,29
90,90,89,82,65,90,58,RM,Right,"173cm / 5'8""",66kg / 146lb,"ST, RW",22
79,79,84,77,60,71,58,LM,Right,"180cm / 5'11""",70kg / 154lb,"CAM, ST, LW",31
63,57,56,53,92,72,85,ST,Right,"194cm / 6'4""",85kg / 187lb,,27
54,73,63,62,76,60,76,CB,Left,"187cm / 6'2""",76kg / 168lb,CDM,27
33,26,32,28,62,22,65,GK,Right,"195cm / 6'5""",84kg / 185lb,,24
75,72,76,70,75,73,66,CAM,Right,"180cm / 5'11""",75kg / 165lb,LM,30
90,93,73,60,84,78,80,RW,Left,"191cm / 6'3""",81kg / 179lb,"LW, RM",31
87,78,89,70,62,63,58,CAM,Right,"173cm / 5'8""",63kg / 139lb,"CM, LW",26
77,75,58,58,76,56,72,CB,Left,"189cm / 6'2""",83kg / 183lb,,26
61,68,62,63,79,72,77,CB,Right,"188cm / 6'2""",76kg / 168lb,,30
66,65,72,69,68,72,67,CM,Left,"182cm / 6'0""",67kg / 148lb,"CAM, RM",22
53,60,64,54,81,71,88,CB,Right,"188cm / 6'2""",83kg / 183lb,,31
83,85,75,78,72,86,64,RB,Right,"177cm / 5'10""",72kg / 159lb,,32
29,25,31,23,66,28,78,GK,Right,"190cm / 6'3""",87kg / 192lb,,28
74,79,77,61,78,75,72,ST,Right,"183cm / 6'0""",77kg / 170lb,RW,22
75,78,75,72,74,87,65,CM,Left,"180cm / 5'11""",69kg / 152lb,"CAM, LB",25
58,54,59,65,71,85,73,CDM,Right,"180cm / 5'11""",70kg / 154lb,CM,30
55,55,72,74,48,82,65,CAM,Left,"180cm / 5'11""",70kg / 154lb,"RM, ST",24
56,65,69,77,55,73,57,CM,Left,"178cm / 5'10""",65kg / 143lb,CDM,25
78,78,74,69,76,69,66,LB,Left,"175cm / 5'9""",74kg / 163lb,,27
43,68,36,34,79,63,91,ST,Right,"201cm / 6'7""",80kg / 176lb,,24
64,62,70,74,83,75,83,CB,Left,"178cm / 5'10""",67kg / 148lb,LB,31
53,55,58,58,72,82,78,CB,Right,"187cm / 6'2""",78kg / 172lb,RB,29
64,66,61,60,79,72,75,CB,Left,"185cm / 6'1""",77kg / 170lb,,25
54,54,68,62,61,70,60,CM,Right,"184cm / 6'0""",74kg / 163lb,CAM,28
68,68,78,66,62,77,70,CM,Right,"179cm / 5'10""",78kg / 172lb,CDM,29
61,55,61,66,72,73,71,CM,Right,"192cm / 6'4""",81kg / 179lb,"CAM, CDM",24
51,64,52,53,76,59,77,CB,Right,"188cm / 6'2""",75kg / 165lb,,20
78,77,73,74,78,72,69,ST,Right,"178cm / 5'10""",75kg / 165lb,LM,25
89,92,85,87,59,78,47,LM,Right,"173cm / 5'8""",70kg / 154lb,"RM, LW",25
65,68,67,59,78,86,80,CDM,Right,"180cm / 5'11""",75kg / 165lb,"CM, CAM",27
66,57,74,74,60,75,58,CM,Left,"177cm / 5'10""",74kg / 163lb,,26
59,59,39,53,80,73,81,CB,Right,"186cm / 6'1""",81kg / 179lb,,29
77,75,74,69,77,67,75,CB,Right,"183cm / 6'0""",72kg / 159lb,,28
87,82,80,80,75,74,61,RB,Right,"175cm / 5'9""",69kg / 152lb,LB,30
22,25,39,34,45,23,45,GK,Right,"189cm / 6'2""",73kg / 161lb,,22
87,84,73,82,76,80,73,RM,Left,"179cm / 5'10""",69kg / 152lb,RW,22
54,56,42,44,67,31,67,GK,Right,"189cm / 6'2""",77kg / 170lb,,36
81,89,77,58,81,74,74,ST,Right,"182cm / 6'0""",80kg / 176lb,"RM, RW",25
43,44,52,69,58,59,61,CDM,Right,"184cm / 6'0""",77kg / 170lb,CM,34
60,46,46,59,69,37,65,GK,Right,"185cm / 6'1""",79kg / 174lb,,32
66,41,77,75,68,74,61,LB,Left,"178cm / 5'10""",70kg / 154lb,LM,27
52,54,57,47,75,68,85,CDM,Right,"183cm / 6'0""",80kg / 176lb,"CM, CB",31
61,64,66,69,80,72,80,CB,Left,"182cm / 6'0""",77kg / 170lb,LB,35
72,77,67,68,84,59,79,CB,Left,"182cm / 6'0""",76kg / 168lb,LB,26
81,79,78,84,85,50,71,ST,Right,"173cm / 5'8""",74kg / 163lb,,31
58,68,63,35,74,33,70,CB,Left,"191cm / 6'3""",87kg / 192lb,LB,30
73,71,73,74,79,72,75,RM,Right,"179cm / 5'10""",76kg / 168lb,"RB, RW",31
72,64,77,84,75,71,80,CDM,Right,"170cm / 5'7""",67kg / 148lb,CM,22
66,64,43,58,79,69,74,CB,Left,"180cm / 5'11""",75kg / 165lb,"RB, LB",19
67,57,76,75,54,71,57,CAM,Right,"175cm / 5'9""",76kg / 168lb,,26
75,76,69,67,72,69,68,RM,Right,"180cm / 5'11""",74kg / 163lb,"LM, RB, RW",29
81,76,84,78,75,78,74,LM,Left,"178cm / 5'10""",72kg / 159lb,"CAM, LW",25
74,59,71,61,75,84,69,CDM,Left,"183cm / 6'0""",70kg / 154lb,"CM, CB",32
62,62,62,63,78,76,75,CB,Right,"183cm / 6'0""",72kg / 159lb,,29
53,63,63,65,70,77,75,CDM,Right,"186cm / 6'1""",76kg / 168lb,CM,30
89,92,80,70,65,65,51,LM,Left,"169cm / 5'7""",65kg / 143lb,"RM, LW",19
69,67,72,64,68,65,67,LB,Left,"173cm / 5'8""",68kg / 150lb,,36
76,78,76,73,73,82,72,RM,Right,"175cm / 5'9""",72kg / 159lb,RW,28
74,73,65,47,82,69,81,RM,Right,"187cm / 6'2""",78kg / 172lb,"LM, RW",34
66,71,64,63,76,38,77,LB,Left,"185cm / 6'1""",85kg / 187lb,LM,30
81,79,78,76,72,64,66,LB,Left,"176cm / 5'9""",69kg / 152lb,LM,23
89,81,92,90,52,90,34,CAM,Right,"167cm / 5'6""",65kg / 143lb,"LW, RM",29
31,35,34,42,61,28,70,GK,Right,"185cm / 6'1""",82kg / 181lb,,24
68,66,73,71,78,70,70,RB,Right,"176cm / 5'9""",74kg / 163lb,CB,34
75,76,76,70,84,79,82,CDM,Right,"182cm / 6'0""",76kg / 168lb,CM,30
68,67,64,59,77,64,70,CB,Left,"188cm / 6'2""",85kg / 187lb,,24
93,92,85,77,62,83,52,LM,Right,"180cm / 5'11""",71kg / 157lb,LW,24
68,63,70,67,68,77,68,CM,Right,"189cm / 6'2""",68kg / 150lb,,18
